应用名称,类型,能力,操作,优先级,原因说明,开发状态,是否内置
HubSpot,CRM,修改/编辑,更新 Deal 阶段,High,销售流程最核心操作,已支持,FALSE
HubSpot,CRM,修改/编辑,更新联系人信息,Medium,客户信息维护,已支持,FALSE
HubSpot,CRM,修改/编辑,记录活动日志,Medium,客户互动追踪,已支持,FALSE
HubSpot,CRM,修改/编辑,批量创建/更新联系人,Medium,批量数据管理,已支持,FALSE
HubSpot,CRM,修改/编辑,批量创建/更新公司,Medium,批量数据管理,已支持,FALSE
HubSpot,CRM,修改/编辑,添加联系人到列表,Low,营销自动化辅助,已支持,FALSE
HubSpot,CRM,修改/编辑,创建工作流,Low,自动化业务流程,已支持,FALSE
HubSpot,CRM,修改/编辑,创建关联关系,Low,数据关联管理,已支持,FALSE
HubSpot,CRM,检索/查询,生成销售报告,High,数据分析核心功能,已支持,FALSE
HubSpot,CRM,检索/查询,Pipeline 分析,Medium,销售漏斗洞察,已支持,FALSE
HubSpot,CRM,检索/查询,收入预测,Medium,业务预测能力,已支持,FALSE
Salesforce,CRM,修改/编辑,更新 Opportunity 阶段,High,销售流程最核心操作,规划中,FALSE
Salesforce,CRM,修改/编辑,更改 Lead 状态,Medium,线索管理,规划中,FALSE
Salesforce,CRM,检索/查询,生成 Pipeline 报告,High,销售分析核心功能,规划中,FALSE
Salesforce,CRM,检索/查询,预测报告,Medium,业务预测,规划中,FALSE
Salesforce,CRM,检索/查询,团队业绩分析,Medium,团队管理,规划中,FALSE
Linear,任务管理,修改/编辑,更改状态,High,最高频操作,已支持,FALSE
Linear,任务管理,修改/编辑,创建 Issue,High,快速记录 Bug/Feature,已支持,FALSE
Linear,任务管理,修改/编辑,更新负责人,Medium,任务分配,已支持,FALSE
Linear,任务管理,修改/编辑,调整优先级,Medium,任务优先级管理,已支持,FALSE
Linear,任务管理,修改/编辑,添加评论,Medium,团队协作沟通,已支持,FALSE
Linear,任务管理,修改/编辑,添加附件,Low,补充信息,已支持,FALSE
Linear,任务管理,修改/编辑,删除 Issue,Low,清理任务,已支持,FALSE
Linear,任务管理,检索/查询,搜索任务,Medium,快速定位任务,规划中,FALSE
Linear,任务管理,检索/查询,获取任务详情,Medium,了解任务全貌,规划中,FALSE
Jira,任务管理,修改/编辑,状态转换,High,工作流最核心操作,已支持,FALSE
Jira,任务管理,修改/编辑,创建 Issue,High,快速记录 Bug/Story,已支持,FALSE
Jira,任务管理,修改/编辑,更新负责人,Medium,任务分配,已支持,FALSE
Jira,任务管理,修改/编辑,调整优先级,Medium,任务优先级管理,已支持,FALSE
Jira,任务管理,修改/编辑,添加评论,Medium,团队协作沟通,已支持,FALSE
Jira,任务管理,修改/编辑,添加附件,Low,补充信息,已支持,FALSE
Jira,任务管理,修改/编辑,删除 Issue,Low,清理任务,已支持,FALSE
Jira,任务管理,修改/编辑,创建/删除项目,Low,项目管理,已支持,FALSE
